"Author, Year",Outcome Name,Outcome Measure(s),Outcome Arms Compared,Treatment Definition,Outcome,Value,Effect Size,95% CI,p-value,"[Effect size (95% CI), p-value]"
"Acarturk, 2016",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acarturk, 2016",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
